Player,Age,Market Value,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating 
Aaron Wan-Bissaka Right-Back ,24,€40.00m ,72,13,1170,-,0.6,47.8,83.1,0.4,0.8,-,6.86
Adama Traoré Right Winger ,25,€30.00m ,72,10(7),1013,-,1.1,16.4,77.7,0.5,0.6,0.1,7
Alisson Goalkeeper ,29,€60.00m ,91,17,1530,-,-,31.8,86.3,-,3.5,-,6.81
Allan Saint-Maximin Left Winger ,24,€30.00m ,67,17(1),1542,3,1.5,21.3,76,0.3,0.8,0.3,7.11
Andreas Christensen Centre-Back ,25,€35.00m ,82,10(1),916,-,0.4,71.1,88.2,-,2.6,-,6.94
Andrew Robertson Left-Back ,27,€65.00m ,64,14,1217,5,1.9,65.4,83.5,1.4,1.6,-,7.03
Anthony Martial Centre-Forward ,26,€35.00m ,76,2(5),202,-,-,10.6,79.7,-,-,0.1,6.33
Antonio Rüdiger Centre-Back ,28,€35.00m ,85,17,1530,-,0.6,70.7,86.9,0.2,4.6,-,6.98
Aymeric Laporte Centre-Back ,27,€45.00m ,86,14,1185,-,0.3,84.7,94.8,0.1,4.1,0.1,6.86
Ben Chilwell Left-Back ,25,€38.00m ,77,6,540,1,1.7,44.8,82.9,1.2,0.8,-,7.65
Ben White Centre-Back ,24,€40.00m ,78,16,1440,-,0.4,51.4,85.6,-,2.9,0.1,6.83
Bernardo Silva Attacking Midfield ,27,€70.00m ,64,17,1436,1,1.6,55.5,89.2,0.2,1.2,0.1,7.45
Bruno Fernandes Attacking Midfield ,27,€90.00m ,69,16,1386,3,2.8,49.8,76.4,1,3.2,0.4,7.04
Bryan Gil Left Winger ,20,€30.00m ,60,0(5),57,-,-,6.8,85.3,-,-,-,6.17
Bukayo Saka Left Midfield ,20,€65.00m ,65,16(2),1328,4,1.7,27.6,79.3,0.7,0.4,-,6.87
Caglar Söyüncü Centre-Back ,25,€45.00m ,82,16,1418,-,0.1,62.7,84.3,0.1,2.9,-,6.71
Callum Hudson-Odoi Right Winger ,21,€32.00m ,76,7(2),600,-,2.1,25.6,85.2,0.3,0.3,-,6.9
Christian Pulisic Right Winger ,23,€50.00m ,69,4(4),415,-,0.6,14.4,75.7,0.1,0.3,0.1,6.46
Cristian Romero Centre-Back ,23,€35.00m ,79,6(1),534,-,-,48,84.8,-,2.6,0.1,6.75
Cristiano Ronaldo Centre-Forward ,36,€45.00m ,83,11(2),1028,2,0.7,26.7,81.6,0.1,0.4,0.1,6.99
Curtis Jones Central Midfield ,20,€30.00m ,75,3(2),322,1,0.6,44.4,94.1,0.2,1.4,-,6.77
Davinson Sánchez Centre-Back ,25,€32.00m ,81,7(2),659,-,0.1,40,82.8,-,1.8,0.1,6.94
Declan Rice Defensive Midfield ,22,€70.00m ,76,17,1530,3,0.9,54.9,90.4,0.1,2.7,0.1,7.31
Diogo Jota Left Winger ,25,€45.00m ,68,14(3),1222,1,1.3,21.2,78.3,0.1,0.3,0.1,7.32
Dominic Calvert-Lewin Centre-Forward ,24,€45.00m ,71,3,249,-,1,16,66.7,-,0.3,-,7.68
Douglas Luiz Defensive Midfield ,23,€35.00m ,66,12(1),1054,3,1.4,36,82.5,0.6,1.8,0.2,6.95
Ederson Goalkeeper ,28,€50.00m ,86,17,1530,-,-,25.3,90.7,-,3.6,0.1,6.74
Edouard Mendy Goalkeeper ,29,€30.00m ,86,17,1530,-,-,24.4,82.6,-,4,-,6.86
Emiliano Buendía Right Winger ,24,€35.00m ,72,11(4),897,2,1.3,23.7,80.8,0.3,0.7,0.1,6.63
Emiliano Martínez Goalkeeper ,29,€35.00m ,88,16,1440,-,-,28.1,69.1,-,5.6,-,6.8
Fabinho Defensive Midfield ,28,€60.00m ,78,11(1),1009,1,0.6,55.7,88.5,0.1,2,0.1,7.04
Ferran Torres Right Winger ,21,€50.00m ,77,4,305,1,0.3,17.5,77.1,-,-,-,7.23
Gabriel Jesus Centre-Forward ,24,€60.00m ,73,13(2),1142,7,1.7,31.7,86.8,0.3,0.4,0.1,7.21
Hakim Ziyech Attacking Midfield ,28,€38.00m ,65,6(4),550,2,1.4,24.5,78,0.6,0.9,0.1,6.91
Harry Kane Centre-Forward ,28,€120.00m ,86,13(1),1188,1,0.9,22.7,73,0.1,1.1,0.2,6.93
Harry Maguire Centre-Back ,28,€50.00m ,100,14,1215,-,0.1,54.4,87.4,-,3.4,-,6.56
Heung-min Son Left Winger ,29,€85.00m ,78,14,1232,2,1.8,31.6,85.3,1.3,0.3,0.1,7.06
Ibrahima Konaté Centre-Back ,22,€35.00m ,95,6,540,-,-,62.5,87.2,-,2.3,-,7.1
Ilkay Gündogan Central Midfield ,31,€40.00m ,80,11(1),942,3,2.1,50.7,90.1,0.9,1.9,0.3,7.41
Ivan Toney Centre-Forward ,25,€32.00m ,70,14,1260,2,1.1,23.4,56,0.1,0.3,0.3,7.35
Jack Grealish Left Winger ,26,€100.00m ,68,12(1),978,2,2.3,37.6,88.1,0.2,0.5,0.1,7.26
Jadon Sancho Left Winger ,21,€90.00m ,76,8(5),718,-,1.3,29,83.6,0.2,0.2,0.1,6.4
James Maddison Attacking Midfield ,25,€50.00m ,73,12(4),1011,3,0.9,21.8,78.5,0.4,1.1,0.1,6.88
Jarrod Bowen Right Winger ,25,€30.00m ,70,16(1),1413,4,1.4,19.2,77.7,1,1.2,0.1,7.16
João Cancelo Right-Back ,27,€55.00m ,74,17,1518,4,1.2,82.8,85.8,0.5,4.1,0.2,7.46
John Stones Centre-Back ,27,€30.00m ,70,4(2),411,-,-,52.8,91.2,-,2.2,-,7.15
Jorginho Defensive Midfield ,30,€45.00m ,65,13(2),1176,1,0.9,63.5,89.3,-,2.3,0.2,6.9
Kai Havertz Attacking Midfield ,22,€70.00m ,83,11(3),861,1,0.3,21.6,82.2,0.1,0.4,0.1,6.87
Kalvin Phillips Defensive Midfield ,26,€40.00m ,72,12,1001,1,0.6,52.5,82.9,0.2,3.5,-,6.55
Kevin De Bruyne Attacking Midfield ,30,€100.00m ,68,7(5),672,-,2.3,37.8,82.3,0.3,2.3,0.3,7.13
Kieran Tierney Left-Back ,24,€32.00m ,,,,,,,,,,,
Kurt Zouma Centre-Back ,27,€32.00m ,96,11,971,-,0.1,37.5,84.3,-,1.4,-,6.74
Leander Dendoncker Defensive Midfield ,26,€30.00m ,83,7(7),692,1,0.4,20.5,83.6,-,0.6,-,6.37
Leon Bailey Left Winger ,24,€35.00m ,77,4(5),425,2,0.6,11.8,79.2,0.2,0.6,-,6.65
Lucas Digne Left-Back ,28,€35.00m ,74,13,1170,-,1.7,39.1,76,1.2,1,-,6.8
Luke Shaw Left-Back ,26,€42.00m ,75,12,1001,1,1.9,47.6,84.4,1.7,1.2,0.2,6.58
Marcus Rashford Left Winger ,24,€85.00m ,70,6(3),497,1,0.7,17.8,75.6,0.1,0.4,-,6.5
Martin Ødegaard Attacking Midfield ,23,€40.00m ,68,12(4),1069,1,1.8,37.2,82.7,0.6,1,0.3,6.81
Mason Greenwood Right Winger ,20,€50.00m ,70,10(2),852,1,1.1,24.8,84.9,0.3,1,0.2,7
Mason Mount Attacking Midfield ,22,€75.00m ,70,11(4),977,4,1.5,29.8,85,1.3,0.4,0.3,7.25
Mateo Kovacic Central Midfield ,27,€45.00m ,78,8(2),730,5,1.3,55.1,88.6,-,2.8,0.3,7.45
Mohamed Salah Right Winger ,29,€100.00m ,71,18,1604,9,2.1,33.9,79.2,0.3,0.4,0.4,7.89
Naby Keïta Central Midfield ,26,€32.00m ,64,6(3),471,1,0.7,31.2,85.1,-,0.6,-,7.12
Nathan Aké Centre-Back ,26,€32.00m ,75,4(2),399,-,-,56.2,93.2,-,0.7,-,6.74
N'Golo Kanté Defensive Midfield ,30,€55.00m ,68,7(2),588,-,0.4,42.3,84.8,-,1,0.2,7.04
Nicolas Pépé Right Winger ,26,€35.00m ,73,5(3),489,1,1.4,25,84,1.4,0.3,-,6.7
Nikola Vlasic Attacking Midfield ,24,€30.00m ,72,1(5),147,-,0.7,9.8,89.8,-,-,-,6.22
Ollie Watkins Centre-Forward ,25,€32.00m ,70,14(1),1271,1,1.1,21,73.7,-,0.3,-,6.95
Paul Pogba Central Midfield ,28,€60.00m ,84,7(2),634,7,1.7,49.6,85,0.1,4.8,0.4,7.14
Phil Foden Central Midfield ,21,€80.00m ,70,9(2),812,3,1.9,36.9,89.7,1.6,0.5,0.1,7.4
Pierre-Emile Höjbjerg Central Midfield ,26,€40.00m ,84,14,1260,1,0.6,69.9,89,0.1,2.4,0.1,7.16
Raheem Sterling Left Winger ,27,€90.00m ,69,9(6),913,1,1.5,25,86.4,0.3,0.2,-,6.93
Raphaël Varane Centre-Back ,28,€70.00m ,81,6,540,1,0.3,62.2,87.9,-,4.7,-,6.9
Raphinha Right Winger ,25,€32.00m ,68,16,1351,1,1.8,30.8,68.6,1.3,1.6,0.1,7.21
Reece James Right-Back ,22,€45.00m ,82,12(2),1001,5,2.1,45.9,87.1,1,1.6,-,7.25
Ricardo Pereira Right-Back ,28,€30.00m ,70,8,597,2,0.8,35.5,76.4,0.3,0.6,-,6.99
Richarlison Centre-Forward ,24,€55.00m ,83,10(1),889,2,1.2,14.4,65.2,0.2,0.2,0.1,6.72
Riyad Mahrez Right Winger ,30,€42.00m ,67,6(8),662,3,1.6,27.5,90.1,0.9,0.9,0.4,7.03
Roberto Firmino Centre-Forward ,30,€40.00m ,76,4(6),416,2,0.8,19.7,77.7,-,0.6,0.1,6.84
Rodri Defensive Midfield ,25,€70.00m ,82,16,1384,1,1,82.5,92.4,0.1,4.9,0.1,7.38
Romelu Lukaku Centre-Forward ,28,€100.00m ,93,7(4),693,-,1.1,12,72.7,-,0.1,0.1,6.91
Rúben Dias Centre-Back ,24,€75.00m ,76,16(1),1413,1,0.5,74.8,93.3,0.1,3.8,0.1,6.98
Rúben Neves Defensive Midfield ,24,€42.00m ,80,15(2),1345,1,0.8,55.5,83.4,0.4,5.9,0.2,6.7
Sadio Mané Left Winger ,29,€85.00m ,69,17(1),1534,1,1.1,29.4,75.1,0.3,0.7,0.1,7.24
Saúl Ñíguez Central Midfield ,27,€40.00m ,76,2(3),164,-,-,24.2,86,-,0.8,-,6.08
Scott McTominay Defensive Midfield ,25,€35.00m ,88,12(2),1031,-,0.9,34.6,87,0.1,1.7,0.1,6.78
Tanguy Ndombélé Central Midfield ,24,€45.00m ,76,6(2),475,1,0.5,31.9,86.7,-,0.5,0.3,6.52
Thomas Partey Defensive Midfield ,28,€40.00m ,77,13(1),1163,-,0.5,47.8,85.2,-,2.9,-,6.8
Timo Werner Centre-Forward ,25,€55.00m ,75,6(3),545,1,0.2,13.9,76,-,0.2,-,6.41
Tomas Soucek Defensive Midfield ,26,€42.00m ,86,17,1519,1,0.5,40.1,82,0.1,1.8,-,6.96
Trent Alexander-Arnold Right-Back ,23,€75.00m ,69,16,1414,8,3.2,68.6,80.2,2.8,6.3,0.4,7.75
Tyrone Mings Centre-Back ,28,€30.00m ,77,15(1),1388,1,0.1,42.6,77.9,-,2.6,-,6.72
Virgil van Dijk Centre-Back ,30,€55.00m ,92,16,1440,1,0.4,77.4,90.6,-,5.1,0.1,7.17
Wilfred Ndidi Defensive Midfield ,25,€60.00m ,74,12,1080,-,0.1,51.9,80.3,-,0.9,-,6.9
Wilfried Zaha Left Winger ,29,€45.00m ,66,15(1),1355,1,1.4,28,80.1,0.5,0.5,0.1,6.85
Youri Tielemans Central Midfield ,24,€55.00m ,72,12,1067,2,1.8,57.7,84.1,0.8,2.9,0.3,7.28
