,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
248,Mary and Max,2009,Not Rated,92 min,"Animation, Comedy, Drama",8.1,"177,525",N/A
249,How to Train Your Dragon,2010,PG,98 min,"Animation, Action, Adventure",8.1,"739,031","$217,581,231"
250,Let's Go! India,2007,Not Rated,153 min,"Drama, Family, Sport",8.1,"80,777",N/A
251,Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",8.1,"622,810","$18,354,356"
252,Rang De Basanti,2006,Not Rated,167 min,"Comedy, Crime, Drama",8.1,"119,390","$2,197,694"
253,Million Dollar Baby,2004,PG-13,132 min,"Drama, Sport",8.1,"686,797","$100,492,203"
254,Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1,"356,065","$23,530,892"
255,Ratatouille,2007,G,111 min,"Animation, Adventure, Comedy",8.1,"734,201","$206,445,654"
256,Before Sunset,2004,R,80 min,"Drama, Romance",8.1,"264,562","$5,820,649"
257,Black,2005,Not Rated,122 min,Drama,8.1,"35,148","$754,819"
258,Munna Bhai M.B.B.S.,2003,Not Rated,156 min,"Comedy, Drama",8.1,"82,528","$48,772"
259,Memories of Murder,2003,Not Rated,132 min,"Crime, Drama, Mystery",8.1,"184,626","$15,357"
260,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143 min,"Action, Adventure, Fantasy",8.1,"1,121,669","$305,413,918"
261,Dil Chahta Hai,2001,Not Rated,183 min,"Comedy, Drama, Romance",8.1,"72,653",N/A
262,Catch Me If You Can,2002,PG-13,141 min,"Biography, Crime, Drama",8.1,"973,233","$164,615,351"
263,Her Sey Çok Güzel Olacak,1998,N/A,107 min,"Comedy, Drama, Thriller",8.1,"25,743",N/A
264,Amores perros,2000,R,154 min,"Drama, Thriller",8.1,"241,047","$5,408,467"
265,Hera Pheri,2000,Not Rated,156 min,"Action, Comedy, Crime",8.1,"67,143",N/A
266,Sarfarosh,1999,Not Rated,174 min,"Action, Drama, Thriller",8.1,"25,914","$288,733"
267,"Monsters, Inc.",2001,G,92 min,"Animation, Adventure, Comedy",8.1,"905,840","$290,642,256"
268,Lagaan: Once Upon a Time in India,2001,PG,224 min,"Drama, Musical, Sport",8.1,"114,746","$909,043"
269,The Celebration,1998,R,105 min,Drama,8.1,"87,603","$1,656,223"
270,The Iron Giant,1999,PG,86 min,"Animation, Action, Adventure",8.1,"198,212","$23,315,035"
271,The Big Lebowski,1998,R,117 min,"Comedy, Crime",8.1,"806,616","$18,254,458"
272,In the Mood for Love,2000,PG,98 min,"Drama, Romance",8.1,"149,883","$2,738,980"
273,Trainspotting,1996,R,93 min,Drama,8.1,"686,989","$16,491,080"
274,Fargo,1996,R,98 min,"Crime, Thriller",8.1,"677,602","$24,611,975"
275,The Bandit,1996,Not Rated,128 min,"Crime, Drama, Thriller",8.1,"70,279",N/A
276,Underground,1995,Not Rated,167 min,"Comedy, Drama, Fantasy",8.1,"58,805","$171,082"
277,La haine,1995,Not Rated,98 min,"Crime, Drama",8.1,"174,475","$280,859"
278,Before Sunrise,1995,R,101 min,"Drama, Romance",8.1,"308,619","$5,535,405"
279,Three Colors: Red,1994,R,99 min,"Drama, Mystery, Romance",8.1,"103,578","$3,581,969"
280,In the Name of the Father,1993,R,133 min,"Biography, Crime, Drama",8.1,"175,661","$25,096,862"
281,Groundhog Day,1993,PG,101 min,"Comedy, Drama, Fantasy",8.1,"630,923","$71,107,962"
282,Farewell My Concubine,1993,R,171 min,"Drama, Music, Romance",8.1,"29,351","$5,216,888"
283,Raise the Red Lantern,1991,PG,125 min,"Drama, History, Romance",8.1,"32,978","$2,603,061"
284,Time of the Gypsies,1988,R,142 min,"Comedy, Crime, Drama",8.1,"30,969","$280,015"
285,Dead Poets Society,1989,PG,128 min,"Comedy, Drama",8.1,"490,379","$95,860,116"
286,My Neighbor Totoro,1988,G,86 min,"Animation, Comedy, Family",8.1,"339,292","$2,250,213"
287,Stand by Me,1986,R,89 min,"Adventure, Drama",8.1,"404,216","$52,287,414"
288,Platoon,1986,R,120 min,"Drama, War",8.1,"414,938","$138,530,565"
289,Jean de Florette,1986,PG,120 min,"Comedy, Drama",8.1,"26,091","$4,940,939"
290,The Terminator,1984,R,107 min,"Action, Sci-Fi",8.1,"863,512","$38,371,200"
291,"Paris, Texas",1984,R,145 min,Drama,8.1,"107,101","$2,181,987"
292,Gandhi,1982,PG,191 min,"Biography, Drama",8.1,"232,139","$52,767,889"
293,Fanny and Alexander,1982,R,188 min,Drama,8.1,"64,080","$6,783,304"
294,Blade Runner,1982,R,117 min,"Action, Drama, Sci-Fi",8.1,"768,236","$32,914,489"
295,Stalker,1979,Not Rated,162 min,"Drama, Sci-Fi",8.1,"134,887","$292,049"
296,Autumn Sonata,1978,PG,99 min,"Drama, Music",8.1,"34,665",N/A
297,The Deer Hunter,1978,R,183 min,"Drama, War",8.1,"339,682","$48,979,328"
298,Rocky,1976,PG,120 min,"Drama, Sport",8.1,"574,648","$117,235,147"
299,Network,1976,R,121 min,Drama,8.1,"160,019","$23,689,877"
300,The Message,1976,PG,177 min,"Biography, Drama, History",8.1,"47,978",N/A
301,Sholay,1975,Not Rated,162 min,"Action, Adventure, Comedy",8.1,"56,059",N/A
302,Jaws,1975,PG,124 min,"Adventure, Thriller",8.1,"605,858","$265,859,065"
303,Barry Lyndon,1975,PG,185 min,"Adventure, Drama, War",8.1,"168,759",N/A
304,A Woman Under the Influence,1974,R,155 min,"Drama, Romance",8.1,"25,503","$13,336,830"
305,Paper Moon,1973,PG,102 min,"Comedy, Crime, Drama",8.1,"48,069",N/A
306,The Exorcist,1973,R,122 min,Horror,8.1,"408,063","$233,005,644"
307,Anand,1971,Not Rated,122 min,"Drama, Musical",8.1,"33,988",N/A
308,Cool Hand Luke,1967,GP,127 min,"Crime, Drama",8.1,"177,653",N/A
309,Persona,1966,Not Rated,83 min,"Drama, Thriller",8.1,"119,019",N/A
310,Andrei Rublev,1966,R,205 min,"Biography, Drama, History",8.1,"54,010","$124,189"
311,The Sound of Music,1965,G,172 min,"Biography, Drama, Family",8.1,"234,681","$159,287,539"
312,The Battle of Algiers,1966,Not Rated,121 min,"Drama, War",8.1,"60,534","$879,794"
313,The Man Who Shot Liberty Valance,1962,Approved,123 min,"Drama, Western",8.1,"76,526",N/A
314,The Virgin Spring,1960,Not Rated,89 min,Drama,8.1,"29,588",N/A
315,Inherit the Wind,1960,Passed,128 min,"Biography, Drama, History",8.1,"30,581",N/A
316,The 400 Blows,1959,Not Rated,99 min,"Crime, Drama",8.1,"118,701",$509
317,Ben-Hur,1959,G,212 min,"Adventure, Drama",8.1,"239,995","$74,432,704"
318,The Hidden Fortress,1958,Not Rated,126 min,"Action, Adventure, Drama",8.1,"39,425","$46,808"
319,Wild Strawberries,1957,Not Rated,91 min,"Drama, Romance",8.1,"107,650",N/A
320,The Seventh Seal,1957,Not Rated,96 min,"Drama, Fantasy",8.1,"185,923",N/A
321,Nights of Cabiria,1957,Not Rated,110 min,Drama,8.1,"49,394","$766,530"
322,Throne of Blood,1957,Not Rated,110 min,"Drama, History",8.1,"52,648","$46,808"
323,Rififi,1955,Not Rated,118 min,"Crime, Drama, Thriller",8.1,"34,645","$517,975"
324,On the Waterfront,1954,Approved,108 min,"Crime, Drama, Thriller",8.1,"155,464",N/A
325,Diabolique,1955,Not Rated,117 min,"Crime, Drama, Horror",8.1,"66,227",N/A
326,Ace in the Hole,1951,Approved,111 min,"Drama, Film-Noir",8.1,"36,431",N/A
327,White Heat,1949,Not Rated,114 min,"Action, Crime, Drama",8.1,"33,343",N/A
328,The Third Man,1949,Approved,93 min,"Film-Noir, Mystery, Thriller",8.1,"172,424","$1,067,364"
329,The Red Shoes,1948,Not Rated,135 min,"Drama, Music, Romance",8.1,"35,412",N/A
330,The Best Years of Our Lives,1946,Approved,170 min,"Drama, Romance, War",8.1,"64,876","$23,650,000"
331,Rebecca,1940,Approved,130 min,"Drama, Film-Noir, Mystery",8.1,"137,813",N/A
332,The Grapes of Wrath,1940,Passed,129 min,Drama,8.1,"93,626",N/A
333,The Wizard of Oz,1939,G,102 min,"Adventure, Family, Fantasy",8.1,"399,653","$24,668,669"
334,Mr. Smith Goes to Washington,1939,Passed,129 min,"Comedy, Drama",8.1,"116,277","$144,738"
335,The Grand Illusion,1937,Not Rated,113 min,"Drama, War",8.1,"36,986",N/A
336,It Happened One Night,1934,Passed,105 min,"Comedy, Romance",8.1,"104,663",N/A
337,All Quiet on the Western Front,1930,Passed,152 min,"Drama, War",8.1,"62,939",N/A
338,The Circus,1928,Passed,72 min,"Comedy, Family, Romance",8.1,"34,031",N/A
339,Sunrise,1927,Passed,94 min,"Drama, Romance",8.1,"51,379",N/A
340,"Quo Vadis, Aida?",2020,Approved,101 min,"Drama, History, War",8.0,"33,811",N/A
341,RRR,2022,Not Rated,187 min,"Action, Drama",8.0,"114,084","$11,339,160"
342,Wolfwalkers,2020,PG,103 min,"Animation, Adventure, Family",8.0,"32,724",N/A
343,The Invisible Guest,2016,TV-MA,106 min,"Crime, Drama, Mystery",8.0,"176,403",N/A
344,La La Land,2016,PG-13,128 min,"Comedy, Drama, Music",8.0,"586,013","$151,101,803"
345,Lion,2016,PG-13,118 min,"Biography, Drama",8.0,"237,121","$51,738,905"
346,The Martian,2015,PG-13,144 min,"Adventure, Drama, Sci-Fi",8.0,"851,767","$228,433,663"
347,Mommy,2014,R,139 min,Drama,8.0,"57,527","$3,494,070"
348,Haider,2014,Not Rated,160 min,"Action, Crime, Drama",8.0,"55,258","$1,048,143"
349,Soul,2020,PG,100 min,"Animation, Adventure, Comedy",8.0,"327,515",N/A
350,Zootopia,2016,PG,108 min,"Animation, Adventure, Comedy",8.0,"498,454","$341,268,248"
351,Baahubali: The Beginning,2015,Not Rated,159 min,"Action, Drama",8.0,"125,617","$6,738,000"
352,The Tale of The Princess Kaguya,2013,PG,137 min,"Animation, Drama, Family",8.0,"47,258","$974,913"
353,Special 26,2013,Not Rated,144 min,"Crime, Drama, Thriller",8.0,"56,687",N/A
354,The Imitation Game,2014,PG-13,114 min,"Biography, Drama, Thriller",8.0,"768,356","$91,125,683"
355,Guardians of the Galaxy,2014,PG-13,121 min,"Action, Adventure, Comedy",8.0,"1,174,356","$333,718,600"
356,Song of the Sea,2014,PG,93 min,"Animation, Adventure, Drama",8.0,"58,709","$857,522"
357,Blade Runner 2049,2017,R,164 min,"Action, Drama, Mystery",8.0,"569,517","$92,071,675"
358,Her,2013,R,126 min,"Drama, Romance, Sci-Fi",8.0,"612,384","$25,568,251"
359,The Revenant,2015,R,156 min,"Action, Adventure, Drama",8.0,"800,720","$183,637,894"
360,Elite Squad 2: The Enemy Within,2010,Not Rated,115 min,"Action, Crime, Drama",8.0,"83,449","$100,119"
361,The King's Speech,2010,R,118 min,"Biography, Drama, History",8.0,"680,654","$138,797,449"
362,Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8.0,"1,034,009","$363,070,709"
363,Zack Snyder's Justice League,2021,R,242 min,"Action, Adventure, Fantasy",8.0,"395,677",N/A
364,Ip Man,2008,R,106 min,"Action, Biography, Drama",8.0,"224,482",N/A
365,Nefes: Vatan Sagolsun,2009,N/A,128 min,"Action, Drama, Thriller",8.0,"33,952",N/A
366,Dune,2021,PG-13,155 min,"Action, Adventure, Drama",8.0,"625,484","$108,327,830"
367,Departures,2008,PG-13,130 min,Drama,8.0,"52,426",N/A
368,CODA,2021,PG-13,111 min,"Comedy, Drama, Music",8.0,"129,648",N/A
369,Slumdog Millionaire,2008,R,120 min,"Crime, Drama, Romance",8.0,"845,335","$141,319,928"
370,Black Swan,2010,R,108 min,"Drama, Thriller",8.0,"765,510","$106,954,678"
371,Elite Squad,2007,R,115 min,"Action, Crime, Drama",8.0,"104,699","$8,744"
372,The Avengers,2012,PG-13,143 min,"Action, Adventure, Sci-Fi",8.0,"1,387,297","$623,357,910"
373,Persepolis,2007,PG-13,96 min,"Animation, Biography, Drama",8.0,"95,343","$4,445,756"
374,"Carry On, Munna Bhai",2006,Not Rated,144 min,"Comedy, Drama, Romance",8.0,"47,412","$2,217,562"
375,The Pursuit of Happyness,2006,PG-13,117 min,"Biography, Drama",8.0,"512,113","$163,566,459"
376,Blood Diamond,2006,R,143 min,"Adventure, Drama, Thriller",8.0,"549,744","$57,377,916"
377,The Bourne Ultimatum,2007,PG-13,115 min,"Action, Mystery, Thriller",8.0,"635,142","$227,471,070"
378,Nobody Knows,2004,PG-13,141 min,Drama,8.0,"28,327","$684,118"
379,Sin City,2005,R,124 min,"Crime, Thriller",8.0,"769,955","$74,103,820"
380,The Diving Bell and the Butterfly,2007,PG-13,112 min,"Biography, Drama",8.0,"108,023","$6,003,227"
381,Tae Guk Gi: The Brotherhood of War,2004,R,140 min,"Action, Drama, War",8.0,"39,964","$1,111,061"
382,G.O.R.A.,2004,N/A,127 min,"Adventure, Comedy, Sci-Fi",8.0,"63,125",N/A
383,Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8.0,"657,865","$167,445,960"
384,Kill Bill: Vol. 2,2004,R,137 min,"Action, Crime, Thriller",8.0,"755,789","$66,208,183"
385,"Spring, Summer, Fall, Winter... and Spring",2003,R,103 min,"Drama, Romance",8.0,"83,443","$2,380,788"
386,The Sea Inside,2004,PG-13,126 min,"Biography, Drama",8.0,"82,126","$2,104,923"
387,Cinderella Man,2005,PG-13,144 min,"Biography, Drama, Romance",8.0,"188,504","$61,649,911"
388,Infernal Affairs,2002,R,101 min,"Action, Crime, Drama",8.0,"125,371","$169,659"
389,Big Fish,2003,PG-13,125 min,"Adventure, Drama, Fantasy",8.0,"442,211","$66,809,693"
390,The Incredibles,2004,PG,115 min,"Animation, Action, Adventure",8.0,"735,955","$261,441,092"
391,My Sassy Girl,2001,Not Rated,137 min,"Comedy, Drama, Romance",8.0,"48,472",N/A
392,Dogville,2003,R,178 min,"Crime, Drama",8.0,"149,786","$1,535,286"
393,Vizontele,2001,N/A,110 min,"Comedy, Drama",8.0,"36,995",N/A
394,Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8.0,"800,981","$1,478,493"
395,Magnolia,1999,R,188 min,Drama,8.0,"313,499","$22,455,976"
396,Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,87 min,"Animation, Action, Drama",8.0,"55,116",N/A
397,The Straight Story,1999,G,112 min,"Biography, Drama",8.0,"91,112","$6,203,044"
398,Perfect Blue,1997,TV-14,81 min,"Animation, Crime, Drama",8.0,"76,914","$558,598"
399,Central Station,1998,R,110 min,Drama,8.0,"39,977","$5,969,553"
400,The Legend of 1900,1998,R,169 min,"Drama, Music, Romance",8.0,"64,830","$167,435"
401,"Black Cat, White Cat",1998,R,127 min,"Comedy, Crime, Romance",8.0,"54,153","$351,447"
402,Sling Blade,1996,R,135 min,Drama,8.0,"94,505","$24,444,121"
403,Secrets & Lies,1996,R,136 min,"Comedy, Drama",8.0,"43,776",N/A
404,12 Monkeys,1995,R,129 min,"Mystery, Sci-Fi, Thriller",8.0,"618,547","$57,141,459"
405,Dilwale Dulhania Le Jayenge,1995,Not Rated,181 min,"Drama, Romance",8.0,"70,261",N/A
406,Chungking Express,1994,PG-13,102 min,"Comedy, Crime, Drama",8.0,"82,560","$600,200"
407,Andaz Apna Apna,1994,Not Rated,160 min,"Action, Comedy, Romance",N/A,"53,583",N/A
408,Scent of a Woman,1992,R,156 min,Drama,8.0,"297,166","$63,095,253"
409,Aladdin,1992,G,90 min,"Animation, Adventure, Comedy",8.0,"420,013","$217,350,219"
410,JFK,1991,R,189 min,"Drama, History, Thriller",8.0,"156,907","$70,405,498"
411,Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy",8.0,"455,101","$218,967,620"
412,Dances with Wolves,1990,PG-13,181 min,"Adventure, Drama, Western",8.0,"265,653","$184,208,848"
413,Rain Man,1988,R,133 min,Drama,8.0,"514,891","$172,825,435"
414,Akira,1988,R,124 min,"Animation, Action, Drama",8.0,"187,105","$553,171"
415,The Princess Bride,1987,PG,98 min,"Adventure, Family, Fantasy",8.0,"427,530","$30,857,814"
416,Wings of Desire,1987,PG-13,128 min,"Drama, Fantasy, Romance",8.0,"71,667","$3,333,969"
417,"Goodbye, Children",1987,PG,104 min,"Drama, War",8.0,"34,193","$4,542,825"
418,Castle in the Sky,1986,PG,125 min,"Animation, Adventure, Family",8.0,"166,766","$523,664"
419,Nausicaä of the Valley of the Wind,1984,PG,117 min,"Animation, Adventure, Sci-Fi",8.0,"170,032","$495,770"
420,Nostalghia,1983,Not Rated,125 min,Drama,8.0,"27,434","$41,014"
421,Pink Floyd: The Wall,1982,R,95 min,"Drama, Fantasy, Music",8.0,"81,505","$22,244,207"
422,Fitzcarraldo,1982,PG,158 min,"Adventure, Drama",8.0,"35,492",N/A
423,Life of Brian,1979,R,94 min,Comedy,8.0,"399,545","$20,206,622"
424,Being There,1979,PG,130 min,"Comedy, Drama",8.0,"73,023","$30,177,511"
425,Annie Hall,1977,PG,93 min,"Comedy, Romance",8.0,"266,470","$38,251,425"
426,Dog Day Afternoon,1975,R,125 min,"Biography, Crime, Drama",8.0,"258,083","$50,000,000"
427,Mirror,1975,Not Rated,107 min,"Biography, Drama",8.0,"47,287","$22,168"
428,Young Frankenstein,1974,PG,106 min,Comedy,8.0,"159,588","$86,273,333"
429,Papillon,1973,R,151 min,"Biography, Crime, Drama",8.0,"131,136","$53,267,000"
430,Cries & Whispers,1972,R,91 min,Drama,8.0,"34,467",N/A
431,Solaris,1972,PG,167 min,"Drama, Mystery, Sci-Fi",8.0,"91,932","$22,168"
432,Sleuth,1972,PG,138 min,"Mystery, Thriller",8.0,"47,993","$4,081,254"
433,The Last Picture Show,1971,R,118 min,"Drama, Romance",8.0,"48,733","$29,133,000"
434,Fiddler on the Roof,1971,G,181 min,"Drama, Family, Musical",8.0,"43,994","$10,404,330"
435,Butch Cassidy and the Sundance Kid,1969,PG,110 min,"Biography, Crime, Drama",8.0,"216,807","$102,308,889"
436,Rosemary's Baby,1968,Approved,137 min,"Drama, Horror",8.0,"217,984",N/A
437,Planet of the Apes,1968,G,112 min,"Adventure, Sci-Fi",8.0,"181,155","$32,589,624"
438,Le Samouraï,1967,GP,101 min,"Crime, Drama",8.0,"52,121","$39,481"
439,The Graduate,1967,PG,106 min,"Comedy, Drama, Romance",8.0,"274,218","$104,945,305"
440,Who's Afraid of Virginia Woolf?,1966,Not Rated,131 min,Drama,8.0,"75,787",N/A
441,The Leopard,1963,PG,186 min,"Drama, History",8.0,"26,249",N/A
442,8½,1963,Not Rated,138 min,Drama,8.0,"118,545","$98,760"
443,The Exterminating Angel,1962,Not Rated,95 min,"Drama, Fantasy",8.0,"33,462",N/A
444,What Ever Happened to Baby Jane?,1962,Passed,134 min,"Drama, Horror, Thriller",8.0,"57,009",N/A
445,Sanjuro,1962,Not Rated,96 min,"Action, Drama, Thriller",8.0,"38,562","$46,808"
446,Ivan's Childhood,1962,Not Rated,95 min,"Drama, War",8.0,"36,971","$22,168"
447,Through a Glass Darkly,1961,Not Rated,90 min,Drama,8.0,"25,600",N/A
448,The Hustler,1961,Not Rated,134 min,"Drama, Sport",8.0,"82,518",N/A
449,La dolce vita,1960,Not Rated,174 min,"Comedy, Drama",8.0,"73,769",N/A
450,Rio Bravo,1959,Passed,141 min,Western,8.0,"63,282","$12,535,000"
451,Anatomy of a Murder,1959,Not Rated,161 min,"Drama, Mystery",8.0,"66,899","$11,900,000"
452,Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir",8.0,"105,223","$2,247,465"
453,Sweet Smell of Success,1957,Approved,96 min,"Drama, Film-Noir",8.0,"32,541",N/A
454,The Killing,1956,Approved,84 min,"Crime, Drama, Film-Noir",8.0,"90,567",N/A
455,The Night of the Hunter,1955,Not Rated,92 min,"Crime, Drama, Film-Noir",8.0,"89,979",N/A
456,La strada,1954,Not Rated,108 min,Drama,8.0,"63,533",N/A
457,Stalag 17,1953,Not Rated,120 min,"Comedy, Drama, War",8.0,"56,243",N/A
458,Roman Holiday,1953,Passed,118 min,"Comedy, Romance",8.0,"138,927",N/A
459,High Noon,1952,PG,85 min,"Drama, Thriller, Western",8.0,"104,788",N/A
460,Kind Hearts and Coronets,1949,Not Rated,106 min,"Comedy, Crime",8.0,"37,685","$35,948"
461,Out of the Past,1947,Not Rated,97 min,"Crime, Drama, Film-Noir",8.0,"37,891",N/A
462,"Rome, Open City",1945,Not Rated,103 min,"Drama, Thriller, War",8.0,"26,899",N/A
463,Brief Encounter,1945,Not Rated,86 min,"Drama, Romance",8.0,"40,600",N/A
464,The Maltese Falcon,1941,Passed,100 min,"Crime, Film-Noir, Mystery",8.0,"159,072","$18,180"
465,The Shop Around the Corner,1940,Not Rated,99 min,"Comedy, Drama, Romance",8.0,"33,477",N/A
466,The Cabinet of Dr. Caligari,1920,Not Rated,67 min,"Horror, Mystery, Thriller",8.0,"64,693","$8,811"
467,Knives Out,2019,PG-13,130 min,"Comedy, Crime, Drama",7.9,"624,673","$165,363,234"
468,Shoplifters,2018,R,121 min,"Crime, Drama, Thriller",7.9,"77,077","$3,313,513"
469,Badhaai Ho,2018,Not Rated,124 min,"Comedy, Drama",7.9,"34,841",N/A
470,Marriage Story,2019,R,137 min,"Drama, Romance",7.9,"308,076",N/A
471,Super 30,2019,Not Rated,154 min,"Biography, Drama",7.9,"32,740","$2,269,878"
472,Pad Man,2018,PG-13,140 min,"Biography, Comedy, Drama",7.9,"26,480","$1,670,192"
473,Togo,2019,PG,113 min,"Adventure, Biography, Drama",7.9,"49,439",N/A
474,Airlift,2016,Not Rated,130 min,"Action, Drama, History",7.9,"57,259",N/A
475,M.S. Dhoni: The Untold Story,2016,Not Rated,184 min,"Biography, Drama, Sport",7.9,"59,393","$1,801,550"
476,Baby,2015,Not Rated,159 min,"Action, Crime, Thriller",7.9,"58,054",N/A
477,Sing Street,2016,PG-13,106 min,"Comedy, Drama, Music",7.9,"94,083","$3,237,118"
478,Thor: Ragnarok,2017,PG-13,130 min,"Action, Adventure, Comedy",7.9,"749,379","$315,058,289"
479,Jojo Rabbit,2019,PG-13,108 min,"Comedy, Drama, War",7.9,"387,955","$33,370,906"
480,Wonder,2017,PG,113 min,"Drama, Family",7.9,"165,303","$132,422,809"
481,Arrival,2016,PG-13,116 min,"Drama, Mystery, Sci-Fi",7.9,"692,970","$100,546,139"
482,Gully Boy,2019,Not Rated,154 min,"Drama, Music, Romance",7.9,"39,967","$5,566,534"
483,Short Term 12,2013,R,96 min,Drama,7.9,"88,288","$1,013,100"
484,The Raid 2,2014,R,150 min,"Action, Crime, Thriller",7.9,"124,088","$2,627,209"
485,Before Midnight,2013,R,109 min,"Drama, Romance",7.9,"158,933","$8,114,627"
486,X-Men: Days of Future Past,2014,PG-13,132 min,"Action, Adventure, Sci-Fi",7.9,"712,352","$233,921,534"
487,Bohemian Rhapsody,2018,PG-13,134 min,"Biography, Drama, Music",7.9,"536,927","$216,668,042"
488,The Way He Looks,2014,Not Rated,96 min,"Drama, Romance",7.9,"25,712","$101,451"
489,The Perks of Being a Wallflower,2012,PG-13,103 min,Drama,7.9,"512,317","$17,742,948"
490,The Artist,2011,PG-13,100 min,"Comedy, Drama, Romance",7.9,"241,953","$44,671,682"
491,Edge of Tomorrow,2014,PG-13,113 min,"Action, Adventure, Sci-Fi",7.9,"677,968","$100,206,256"
492,Amour,2012,PG-13,127 min,Drama,7.9,"100,780","$6,739,492"
493,About Elly,2009,TV-PG,119 min,"Drama, Mystery",7.9,"53,845","$470,760"
494,Dev.D,2009,Not Rated,144 min,"Comedy, Drama, Romance",7.9,"30,945","$18,613"
495,My Name Is Khan,2010,PG-13,165 min,"Adventure, Drama, Romance",7.9,"107,823","$4,018,771"
496,Let the Right One In,2008,R,114 min,"Drama, Fantasy, Horror",7.9,"218,055","$2,122,065"
497,District 9,2009,R,112 min,"Action, Sci-Fi, Thriller",7.9,"682,406","$115,646,235"
498,The Wrestler,2008,R,109 min,"Drama, Sport",7.9,"306,999","$26,238,243"
499,Jab We Met,2007,Not Rated,138 min,"Comedy, Drama, Romance",7.9,"53,647",N/A
500,Boyhood,2014,R,165 min,Drama,7.9,"355,204","$25,352,281"
501,"4 Months, 3 Weeks and 2 Days",2007,Not Rated,113 min,Drama,7.9,"60,728","$1,198,208"
502,Star Trek,2009,PG-13,127 min,"Action, Adventure, Sci-Fi",7.9,"604,028","$257,730,019"
