,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
750,Roma,2018,R,135 min,Drama,7.7,"158,959",N/A
751,Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,"580,760","$324,591,735"
752,Sound of Metal,2019,R,120 min,"Drama, Music",7.7,"128,269",N/A
753,Wind River,2017,R,107 min,"Crime, Drama, Mystery",7.7,"252,680","$33,800,859"
754,The Salesman,2016,PG-13,124 min,"Drama, Thriller",7.7,"60,950","$2,402,067"
755,Get Out,2017,R,104 min,"Horror, Mystery, Thriller",7.7,"607,349","$176,196,665"
756,Mission: Impossible - Fallout,2018,PG-13,147 min,"Action, Adventure, Thriller",7.7,"333,077","$220,159,104"
757,Perfect Strangers,2016,N/A,96 min,"Comedy, Drama",7.7,"65,858",N/A
758,Kubo and the Two Strings,2016,PG,101 min,"Animation, Action, Adventure",7.7,"130,013","$48,023,088"
759,A Man Called Ove,2015,PG-13,116 min,"Comedy, Drama, Romance",7.7,"56,243","$3,479,315"
760,The Breadwinner,2017,PG-13,94 min,"Animation, Drama, Family",7.7,"25,749","$313,215"
761,When Marnie Was There,2014,PG,103 min,"Animation, Drama, Family",7.7,"41,151","$561,085"
762,The Theory of Everything,2014,PG-13,123 min,"Biography, Drama, Romance",7.7,"451,952","$35,893,537"
763,Kingsman: The Secret Service,2014,R,129 min,"Action, Adventure, Comedy",7.7,"667,324","$128,261,724"
764,The Fault in Our Stars,2014,PG-13,126 min,"Drama, Romance",7.7,"378,023","$124,872,350"
765,Me and Earl and the Dying Girl,2015,PG-13,105 min,"Comedy, Drama, Romance",7.7,"132,529","$6,758,416"
766,Birdman or (The Unexpected Virtue of Ignorance),2014,R,119 min,"Comedy, Drama",7.7,"630,058","$42,340,598"
767,The Past,2013,PG-13,130 min,"Drama, Mystery",7.7,"49,190","$1,331,747"
768,The Great Beauty,2013,Not Rated,141 min,Drama,7.7,"91,440","$2,852,400"
769,My Life as a Zucchini,2016,PG-13,70 min,"Animation, Drama, Family",7.7,"25,812","$309,766"
770,Blue Is the Warmest Colour,2013,NC-17,180 min,"Drama, Romance",7.7,"153,104","$2,199,787"
771,The Broken Circle Breakdown,2012,Not Rated,111 min,"Drama, Music, Romance",7.7,"41,423","$175,058"
772,The Wind Rises,2013,PG-13,126 min,"Animation, Biography, Drama",7.7,"86,602","$5,209,580"
773,Toy Story 4,2019,G,100 min,"Animation, Adventure, Comedy",7.7,"250,795","$434,038,008"
774,Nebraska,2013,R,115 min,"Adventure, Comedy, Drama",7.7,"118,702","$17,654,912"
775,Wreck-It Ralph,2012,PG,101 min,"Animation, Adventure, Comedy",7.7,"422,303","$189,422,889"
776,The Little Prince,2015,PG,108 min,"Animation, Adventure, Drama",7.7,"62,698","$1,339,152"
777,Detachment,2011,Not Rated,98 min,Drama,7.7,"86,987","$72,689"
778,Midnight in Paris,2011,PG-13,94 min,"Comedy, Fantasy, Romance",7.7,"424,567","$56,817,045"
779,Confessions,2010,Not Rated,106 min,"Drama, Thriller",7.7,"39,581",N/A
780,The Man from Nowhere,2010,R,119 min,"Action, Crime, Drama",7.7,"70,233","$528,175"
781,The Lego Movie,2014,PG,100 min,"Animation, Action, Adventure",7.7,"356,518","$257,966,122"
782,Gravity,2013,PG-13,91 min,"Drama, Sci-Fi, Thriller",7.7,"825,505","$274,092,705"
783,Star Trek Into Darkness,2013,PG-13,132 min,"Action, Adventure, Sci-Fi",7.7,"484,400","$228,778,661"
784,Beasts of No Nation,2015,TV-MA,137 min,"Drama, War",7.7,"81,904","$90,777"
785,,,,,,,,
786,The Hangover,2009,R,100 min,Comedy,7.7,"784,959","$277,339,746"
787,The Trial of the Chicago 7,2020,R,129 min,"Drama, History, Thriller",7.7,"177,643",N/A
788,Silver Linings Playbook,2012,R,122 min,"Comedy, Drama, Romance",7.7,"709,927","$132,092,958"
789,Another Round,2020,Not Rated,117 min,"Comedy, Drama",7.7,"157,877",N/A
790,Argo,2012,R,120 min,"Biography, Drama, Thriller",7.7,"615,255","$136,025,503"
791,500 Days of Summer,2009,PG-13,95 min,"Comedy, Drama, Romance",7.7,"516,486","$32,391,374"
792,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146 min,"Adventure, Family, Fantasy",7.7,"547,840","$296,374,621"
793,The Boy in the Striped Pajamas,2008,PG-13,94 min,"Drama, War",7.7,"219,837","$9,046,156"
794,The Edge of Heaven,2007,Not Rated,122 min,Drama,7.7,"32,395","$742,349"
795,Frost/Nixon,2008,R,122 min,"Biography, Drama, History",7.7,"108,595","$18,622,031"
796,Paprika,2006,R,90 min,"Animation, Drama, Fantasy",7.7,"84,119","$882,267"
797,Flipped,2010,PG,90 min,"Comedy, Drama, Romance",7.7,"90,695","$1,755,212"
798,The Girl Who Leapt Through Time,2006,TV-PG,98 min,"Animation, Adventure, Comedy",7.7,"66,669",N/A
799,This Is England,2006,Not Rated,101 min,"Crime, Drama",7.7,"123,052","$329,379"
800,Ex Machina,2014,R,108 min,"Drama, Sci-Fi, Thriller",7.7,"545,429","$25,442,958"
801,After the Wedding,2006,R,120 min,Drama,7.7,"35,039","$1,534,584"
802,Zodiac,2007,R,157 min,"Crime, Drama, Mystery",7.7,"541,837","$33,080,084"
803,Lucky Number Slevin,2006,R,110 min,"Crime, Drama, Thriller",7.7,"314,503","$22,495,466"
804,Joyeux Noel,2005,PG-13,116 min,"Drama, History, Music",7.7,"29,973",N/A
805,Adam's Apples,2005,R,94 min,"Comedy, Crime, Drama",7.7,"51,252","$1,305"
806,Tangled,2010,PG,100 min,"Animation, Adventure, Comedy",7.7,"453,887","$200,821,936"
807,Black Book,2006,R,145 min,"Drama, Thriller, War",7.7,"77,282","$4,398,532"
808,Brokeback Mountain,2005,R,134 min,"Drama, Romance",7.7,"357,791","$83,043,761"
809,3:10 to Yuma,2007,R,122 min,"Action, Crime, Drama",7.7,"312,995","$53,606,916"
810,Kung Fu Hustle,2004,R,99 min,"Action, Comedy, Fantasy",7.7,"140,834","$17,108,591"
811,The Bourne Supremacy,2004,PG-13,108 min,"Action, Mystery, Thriller",7.7,"464,439","$176,241,941"
812,The Machinist,2004,R,101 min,"Drama, Thriller",7.7,"391,141","$1,082,715"
813,Ray,2004,PG-13,152 min,"Biography, Drama, Music",7.7,"148,611","$75,331,600"
814,Evil,2003,Not Rated,113 min,Drama,N/A,"39,029",N/A
815,Lost in Translation,2003,R,102 min,"Comedy, Drama",7.7,"455,342","$44,585,453"
816,Harry Potter and the Goblet of Fire,2005,PG-13,157 min,"Adventure, Family, Fantasy",7.7,"625,197","$290,469,928"
817,Man on Fire,2004,R,146 min,"Action, Crime, Drama",7.7,"364,123","$77,911,774"
818,Coraline,2009,PG,100 min,"Animation, Drama, Family",7.7,"230,564","$75,286,229"
819,The Magdalene Sisters,2002,R,114 min,Drama,7.7,"27,453","$4,890,878"
820,Finding Neverland,2004,PG,106 min,"Biography, Drama, Family",7.7,"207,187","$51,680,613"
821,Good Bye Lenin!,2003,R,121 min,"Comedy, Drama, Romance",7.7,"146,877","$4,064,200"
822,In America,2002,PG-13,105 min,Drama,7.7,"43,331","$15,539,656"
823,The Triplets of Belleville,2003,PG-13,80 min,"Animation, Comedy, Drama",7.7,"54,716","$7,007,149"
824,Adaptation.,2002,R,115 min,"Comedy, Drama",7.7,"193,528","$22,498,520"
825,Black Hawk Down,2001,R,144 min,"Action, Drama, History",7.7,"397,741","$108,638,745"
826,Road to Perdition,2002,R,117 min,"Crime, Drama, Thriller",7.7,"269,040","$104,454,762"
827,The Experiment,2001,R,120 min,"Drama, Thriller",7.7,"94,098","$144,634"
828,Billy Elliot,2000,R,110 min,"Drama, Music",7.7,"135,680","$21,995,263"
829,Hedwig and the Angry Inch,2001,R,95 min,"Comedy, Drama, Music",7.7,"35,973",N/A
830,The Count of Monte Cristo,2002,PG-13,131 min,"Action, Adventure, Drama",7.7,"138,692","$54,234,062"
831,Y tu mamá también,2001,R,106 min,Drama,7.7,"123,487","$13,839,658"
832,Waking Life,2001,R,99 min,"Animation, Drama, Fantasy",7.7,"64,626","$2,901,447"
833,Ocean's Eleven,2001,PG-13,116 min,"Crime, Thriller",7.7,"575,251","$183,417,150"
834,"O Brother, Where Art Thou?",2000,PG-13,107 min,"Adventure, Comedy, Crime",7.7,"312,768","$45,512,588"
835,"South Park: Bigger, Longer & Uncut",1999,R,81 min,"Animation, Comedy, Fantasy",7.7,"205,302","$52,037,603"
836,Office Space,1999,R,89 min,Comedy,7.7,"268,455","$10,827,810"
837,Happiness,1998,NC-17,134 min,"Comedy, Drama",7.7,"70,838","$2,982,011"
838,The Boondock Saints,1999,R,108 min,"Action, Thriller",7.7,"240,292","$30,471"
839,Training Day,2001,R,122 min,"Action, Crime, Drama",7.7,"436,829","$76,631,907"
840,Run Lola Run,1998,R,80 min,"Action, Crime, Thriller",7.7,"199,615","$7,267,585"
841,Open Your Eyes,1997,R,119 min,"Drama, Mystery, Sci-Fi",7.7,"69,707","$370,720"
842,Taste of Cherry,1997,Not Rated,95 min,Drama,7.7,"31,661",N/A
843,As Good as It Gets,1997,PG-13,139 min,"Comedy, Drama, Romance",7.7,"299,242","$148,478,011"
844,Fireworks,1997,N/A,103 min,"Crime, Drama, Romance",7.7,"30,939","$500,000"
845,The Game,1997,R,129 min,"Drama, Mystery, Thriller",7.7,"396,875","$48,323,648"
846,Donnie Brasco,1997,R,127 min,"Biography, Crime, Drama",7.7,"308,873","$41,909,762"
847,Happy Together,1997,Not Rated,96 min,"Drama, Romance",7.7,"30,107","$320,319"
848,Primal Fear,1996,R,129 min,"Crime, Drama, Mystery",7.7,"219,370","$56,116,183"
849,Sense and Sensibility,1995,PG,136 min,"Drama, Romance",7.7,"117,006","$43,182,776"
850,Apollo 13,1995,PG,140 min,"Adventure, Drama, History",7.7,"296,033","$173,837,933"
851,The Postman,1994,PG,108 min,"Biography, Comedy, Drama",7.7,"36,765","$21,848,932"
852,Clerks,1994,R,92 min,Comedy,7.7,"223,866","$3,151,130"
853,What's Eating Gilbert Grape,1993,PG-13,118 min,Drama,7.7,"238,066","$10,032,765"
854,Short Cuts,1993,R,188 min,"Comedy, Drama",7.7,"45,315","$6,110,979"
855,Philadelphia,1993,PG-13,125 min,Drama,7.7,"242,946","$77,446,440"
856,Naked,1993,Not Rated,131 min,"Comedy, Drama",7.7,"39,889","$1,769,305"
857,The Muppet Christmas Carol,1992,G,85 min,"Comedy, Drama, Family",7.7,"58,759","$27,381,507"
858,Malcolm X,1992,PG-13,202 min,"Biography, Drama, History",7.7,"95,311","$48,169,910"
859,The Last of the Mohicans,1992,R,112 min,"Action, Adventure, Drama",7.7,"171,449","$75,505,856"
860,Hard Boiled,1992,R,128 min,"Action, Crime, Thriller",7.7,"51,030",N/A
861,Porco Rosso,1992,PG,94 min,"Animation, Adventure, Comedy",7.7,"90,614","$443,059"
862,Glengarry Glen Ross,1992,R,100 min,"Crime, Drama, Mystery",7.7,"106,090","$10,725,228"
863,A Few Good Men,1992,R,138 min,"Drama, Thriller",7.7,"265,671","$141,340,178"
864,Night on Earth,1991,R,129 min,"Comedy, Drama",7.7,"61,066","$2,015,810"
865,Fried Green Tomatoes,1991,PG-13,130 min,Drama,7.7,"75,712","$82,418,501"
866,The Double Life of Véronique,1991,R,98 min,"Drama, Fantasy, Music",7.7,"49,124","$1,999,955"
867,Dreams,1990,PG,119 min,"Drama, Fantasy",7.7,"26,786","$1,963,207"
868,Miller's Crossing,1990,R,115 min,"Crime, Drama, Thriller",7.7,"135,923","$5,080,409"
869,Home Alone,1990,PG,103 min,"Comedy, Family",7.7,"565,998","$285,761,243"
870,When Harry Met Sally...,1989,R,95 min,"Comedy, Drama, Romance",7.7,"221,501","$93,117,425"
871,Who Framed Roger Rabbit,1988,PG,104 min,"Animation, Adventure, Comedy",7.7,"202,664","$156,452,370"
872,The Vanishing,1988,Not Rated,107 min,"Mystery, Thriller",7.7,"39,576",N/A
873,The Last Emperor,1987,PG-13,163 min,"Biography, Drama, History",7.7,"104,033","$43,984,230"
874,Evil Dead II,1987,R,84 min,"Comedy, Horror",7.7,"165,992","$5,923,044"
875,Empire of the Sun,1987,PG,153 min,"Drama, History, War",7.7,"126,599","$22,238,696"
876,The Name of the Rose,1986,R,130 min,"Drama, Mystery, Thriller",7.7,"109,540","$7,153,487"
877,Down by Law,1986,R,107 min,"Comedy, Crime, Drama",7.7,"52,012","$1,435,668"
878,Blue Velvet,1986,R,120 min,"Crime, Drama, Mystery",7.7,"200,336","$8,551,228"
879,The Purple Rose of Cairo,1985,PG,82 min,"Comedy, Fantasy, Romance",7.7,"52,063","$10,631,333"
880,The Goonies,1985,PG,114 min,"Adventure, Comedy, Family",7.7,"274,504","$63,711,145"
881,The Color Purple,1985,PG-13,154 min,Drama,7.7,"87,633","$98,467,863"
882,Zelig,1983,PG,79 min,Comedy,7.7,"42,377","$11,798,616"
883,The Verdict,1982,R,129 min,Drama,7.7,"41,066","$53,977,250"
884,Star Trek II: The Wrath of Khan,1982,PG,113 min,"Action, Adventure, Sci-Fi",7.7,"122,384","$79,707,906"
885,First Blood,1982,R,93 min,"Action, Adventure, Thriller",7.7,"253,953","$47,212,904"
886,Ordinary People,1980,R,124 min,Drama,7.7,"52,656","$54,766,923"
887,Airplane!,1980,PG,88 min,Comedy,7.7,"240,675","$83,453,539"
888,Halloween,1978,R,91 min,"Horror, Thriller",7.7,"282,238","$47,160,000"
889,Love and Death,1975,PG,85 min,"Comedy, War",7.7,"38,866","$20,123,742"
890,Blazing Saddles,1974,R,93 min,"Comedy, Western",7.7,"140,514","$119,616,663"
891,Serpico,1973,R,130 min,"Biography, Crime, Drama",7.7,"123,877","$29,800,000"
892,Fantastic Planet,1973,PG,72 min,"Animation, Sci-Fi",7.7,"31,864","$193,817"
893,Badlands,1973,PG,94 min,"Action, Crime, Drama",7.7,"73,638",N/A
894,Deliverance,1972,R,109 min,"Adventure, Drama, Thriller",7.7,"110,589",N/A
895,The French Connection,1971,R,104 min,"Action, Crime, Drama",7.7,"123,490","$51,700,000"
896,Dirty Harry,1971,R,102 min,"Action, Crime, Thriller",7.7,"157,695","$35,988,495"
897,Wait Until Dark,1967,Not Rated,108 min,Thriller,7.7,"31,151",N/A
898,The Dirty Dozen,1967,Approved,150 min,"Action, Adventure, War",7.7,"74,282",N/A
899,Bonnie and Clyde,1967,R,111 min,"Action, Biography, Crime",7.7,"113,920",N/A
900,Belle de Jour,1967,R,100 min,"Drama, Romance",7.7,"45,168","$4,063,348"
901,A Man for All Seasons,1966,G,120 min,"Biography, Drama, History",7.7,"34,891",N/A
902,Zulu,1964,Not Rated,138 min,"Drama, History, War",7.7,"39,662",N/A
903,Goldfinger,1964,PG,110 min,"Action, Adventure, Thriller",7.7,"191,526","$51,081,062"
904,The Longest Day,1962,G,178 min,"Action, Drama, History",7.7,"56,362",N/A
905,Cape Fear,1962,Passed,106 min,"Drama, Thriller",7.7,"29,603",N/A
906,Jules and Jim,1962,Not Rated,105 min,"Drama, Romance",7.7,"41,933",$509
907,The Magnificent Seven,1960,Approved,128 min,"Action, Adventure, Western",7.7,"95,478",N/A
908,Breathless,1960,Not Rated,90 min,"Crime, Drama",7.7,"82,431","$414,173"
909,Invasion of the Body Snatchers,1956,Approved,80 min,"Drama, Horror, Sci-Fi",7.7,"50,598",N/A
910,The Caine Mutiny,1954,Not Rated,124 min,"Drama, War",7.7,"28,099","$21,750,000"
911,The Quiet Man,1952,Passed,129 min,"Comedy, Drama, Romance",7.7,"39,145","$10,550,000"
912,The African Queen,1951,PG,105 min,"Adventure, Drama, Romance",7.7,"79,199",N/A
913,Key Largo,1948,Not Rated,100 min,"Action, Crime, Drama",7.7,"41,450","$7,017,420"
914,Fantasia,1940,G,125 min,"Animation, Family, Fantasy",7.7,"97,231","$76,408,097"
915,Scarface,1932,PG,93 min,"Action, Crime, Drama",7.7,"28,372",N/A
916,Dark Waters,2019,PG-13,126 min,"Biography, Drama, History",7.6,"89,330","$11,136,084"
917,The Mitchells vs the Machines,2021,PG,114 min,"Animation, Adventure, Comedy",7.6,"107,904",N/A
918,Searching,2018,PG-13,102 min,"Drama, Horror, Mystery",7.6,"163,316","$26,020,957"
919,Once Upon a Time in Hollywood,2019,R,161 min,"Comedy, Drama",7.6,"731,446","$142,502,728"
920,Guardians of the Galaxy Vol. 2,2017,PG-13,136 min,"Action, Adventure, Comedy",7.6,"677,802","$389,813,101"
921,Bridge of Spies,2015,PG-13,142 min,"Drama, History, Thriller",7.6,"312,130","$72,313,754"
922,Moana,2016,PG,107 min,"Animation, Adventure, Comedy",7.6,"335,336","$248,757,044"
923,What We Do in the Shadows,2014,R,86 min,"Comedy, Horror",7.6,"185,239","$3,469,224"
924,Sicario,2015,R,121 min,"Action, Crime, Drama",7.6,"429,413","$46,889,293"
925,Leviathan,2014,R,140 min,"Crime, Drama",7.6,"53,841","$1,092,800"
926,Hell or High Water,2016,R,102 min,"Crime, Drama, Thriller",7.6,"231,636","$27,007,844"
927,Philomena,2013,PG-13,98 min,"Biography, Comedy, Drama",7.6,"100,494","$37,709,979"
928,Dawn of the Planet of the Apes,2014,PG-13,130 min,"Action, Adventure, Drama",7.6,"442,371","$208,545,589"
929,The Raid: Redemption,2011,R,101 min,"Action, Crime, Thriller",7.6,"205,707","$4,105,187"
930,End of Watch,2012,R,109 min,"Action, Adventure, Crime",7.6,"249,792","$41,003,371"
931,A Star Is Born,2018,R,136 min,"Drama, Music, Romance",7.6,"384,098","$215,333,122"
932,True Grit,2010,PG-13,110 min,"Drama, Western",7.6,"339,942","$171,243,005"
933,Despicable Me,2010,PG,95 min,"Animation, Adventure, Comedy",7.6,"548,095","$251,557,985"
934,50/50,2011,R,100 min,"Comedy, Drama, Romance",7.6,"331,315","$35,014,192"
935,Kick-Ass,2010,R,117 min,"Action, Comedy, Crime",7.6,"563,475","$48,071,303"
936,Celda 211,2009,N/A,113 min,"Action, Crime, Drama",7.6,"68,154",N/A
937,Moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",7.6,"424,355","$75,605,492"
938,The Skin I Live In,2011,R,120 min,"Drama, Horror, Mystery",7.6,"153,843","$3,185,812"
939,The Blind Side,2009,PG-13,129 min,"Biography, Drama, Sport",7.6,"332,260","$255,982,860"
940,Ponyo,2008,G,101 min,"Animation, Adventure, Comedy",7.6,"144,974","$15,743,471"
941,Superbad,2007,R,113 min,Comedy,7.6,"580,050","$121,463,226"
942,Seven Pounds,2008,PG-13,123 min,Drama,7.6,"303,743","$69,951,824"
943,Eastern Promises,2007,R,100 min,"Crime, Drama, Thriller",7.6,"243,918","$17,266,000"
944,Stardust,2007,PG-13,127 min,"Adventure, Family, Fantasy",7.6,"273,649","$38,634,938"
945,United 93,2006,R,111 min,"Action, Drama, History",7.6,"107,042","$31,483,450"
946,The Last King of Scotland,2006,R,123 min,"Biography, Drama, History",7.6,"187,253","$17,606,684"
947,Inside Man,2006,R,129 min,"Crime, Drama, Mystery",7.6,"373,446","$88,513,495"
948,Gone Baby Gone,2007,R,114 min,"Crime, Drama, Mystery",7.6,"272,853","$20,292,962"
949,Kung Fu Panda,2008,PG,92 min,"Animation, Action, Adventure",7.6,"470,529","$215,771,591"
950,Control,2007,R,122 min,"Biography, Drama, Music",7.6,"65,831","$872,252"
951,300,2006,R,117 min,"Action, Drama",7.6,"820,418","$210,629,101"
952,Match Point,2005,R,124 min,"Drama, Romance, Thriller",7.6,"219,066","$23,151,529"
953,Watchmen,2009,R,162 min,"Action, Drama, Mystery",7.6,"552,688","$107,509,799"
954,Lord of War,2005,R,122 min,"Crime, Drama",7.6,"318,510","$24,149,632"
955,Saw,2004,R,103 min,"Horror, Mystery, Thriller",7.6,"422,796","$56,000,369"
956,A Very Long Engagement,2004,R,133 min,"Drama, Mystery, Romance",7.6,"74,170","$6,524,389"
957,The Station Agent,2003,R,89 min,"Comedy, Drama",7.6,"70,994","$5,739,376"
958,21 Grams,2003,R,124 min,"Crime, Drama, Thriller",7.6,"237,925","$16,290,476"
959,25th Hour,2002,R,135 min,Drama,7.6,"179,543","$13,084,595"
960,The Butterfly Effect,2004,R,113 min,"Drama, Sci-Fi, Thriller",7.6,"490,732","$57,938,693"
961,I Am Sam,2001,PG-13,132 min,Drama,7.6,"150,772","$40,311,852"
962,The Royal Tenenbaums,2001,R,110 min,"Comedy, Drama",7.6,"293,953","$52,364,010"
963,Harry Potter and the Sorcerer's Stone,2001,PG,152 min,"Adventure, Family, Fantasy",7.6,"777,147","$318,886,962"
964,The Others,2001,PG-13,104 min,"Horror, Mystery, Thriller",7.6,"368,178","$96,522,687"
965,Traffic,2000,R,147 min,"Crime, Drama, Thriller",7.6,"208,235","$124,115,725"
966,Minority Report,2002,PG-13,145 min,"Action, Crime, Mystery",7.6,"552,519","$132,072,926"
967,American Psycho,2000,R,102 min,"Crime, Drama, Horror",7.6,"615,984","$15,070,285"
968,Rushmore,1998,R,93 min,"Comedy, Drama, Romance",7.6,"186,401","$17,105,219"
969,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140 min,"Action, Adventure, Fantasy",7.6,"790,637","$380,270,577"
970,The Thin Red Line,1998,R,170 min,"Drama, History, War",7.6,"188,681","$36,400,491"
971,Mulan,1998,G,88 min,"Animation, Adventure, Comedy",7.6,"289,126","$120,620,254"
972,The Fifth Element,1997,PG-13,126 min,"Action, Adventure, Sci-Fi",7.6,"474,890","$63,820,180"
973,Dark City,1998,R,100 min,"Fantasy, Mystery, Sci-Fi",7.6,"201,162","$14,378,331"
974,Shine,1996,PG-13,105 min,"Biography, Drama, Music",7.7,"54,568","$35,892,330"
975,Die Hard with a Vengeance,1995,R,128 min,"Action, Adventure, Thriller",7.6,"388,331","$100,012,499"
976,The Bridges of Madison County,1995,PG-13,135 min,"Drama, Romance",7.6,"82,310","$71,516,617"
977,My Cousin Vinny,1992,R,120 min,"Comedy, Crime",7.6,"126,172","$52,929,168"
978,Barton Fink,1991,R,116 min,"Comedy, Drama, Thriller",7.6,"122,648","$6,153,939"
979,The Godfather Part III,1990,R,162 min,"Crime, Drama",7.6,"397,654","$66,761,392"
980,The Naked Gun: From the Files of Police Squad!,1988,PG-13,85 min,"Comedy, Crime",7.6,"170,989","$78,756,177"
981,RoboCop,1987,R,102 min,"Action, Crime, Sci-Fi",7.6,"260,228","$53,424,681"
982,Lethal Weapon,1987,R,109 min,"Action, Crime, Thriller",7.6,"260,043","$65,207,127"
983,The Fly,1986,R,96 min,"Drama, Horror, Sci-Fi",7.6,"184,562","$40,456,565"
984,After Hours,1985,R,97 min,"Comedy, Crime, Drama",7.6,"70,043","$10,609,321"
985,The Road Warrior,1981,R,96 min,"Action, Adventure, Sci-Fi",7.6,"181,736","$23,667,907"
986,Close Encounters of the Third Kind,1977,PG,138 min,"Drama, Sci-Fi",7.6,"203,132","$135,189,114"
987,The Taking of Pelham One Two Three,1974,R,104 min,"Action, Crime, Thriller",7.6,"31,251",N/A
988,Enter the Dragon,1973,R,102 min,"Action, Crime, Drama",7.6,"105,411","$25,259"
989,The Odd Couple,1968,Passed,105 min,Comedy,7.6,"35,324","$44,527,234"
990,The Jungle Book,1967,G,78 min,"Animation, Adventure, Comedy",7.6,"184,191","$141,843,612"
991,Repulsion,1965,Not Rated,105 min,"Drama, Horror, Thriller",7.6,"53,796",N/A
992,The Birds,1963,PG-13,119 min,"Drama, Horror, Mystery",7.6,"190,639",N/A
993,Eyes Without a Face,1960,Not Rated,90 min,"Drama, Horror",7.6,"32,225","$58,565"
994,Rebel Without a Cause,1955,PG-13,111 min,Drama,7.6,"91,492","$212,780"
995,Sabrina,1954,Passed,113 min,"Comedy, Drama, Romance",7.6,"65,766",N/A
996,From Here to Eternity,1953,Passed,118 min,"Drama, Romance, War",7.6,"47,409","$36,416"
997,Snow White and the Seven Dwarfs,1937,Approved,83 min,"Animation, Adventure, Family",7.6,"200,347","$184,925,486"
998,The 39 Steps,1935,Approved,86 min,"Crime, Mystery, Thriller",7.6,"57,634",N/A
999,The Invisible Man,1933,Approved,71 min,"Horror, Sci-Fi",7.6,"36,258",N/A
